building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active,mailer_building_number,mailer_street,mailer_street_type,mailer_city,mailer_state,mailer_zip_code,*location_quality_Grade(Numeric),*premise_quality-grade(Numeric),listing_brokerage,listing_broker_name,listing_broker_email,listing_broker_number,tenant_contact_name,tenant_contact_phone_number,tenant_contact_email,tenant_contact_address,owner_contact_name,owner_contact_phone_number,owner_contact_email,owner_contact_address,unique_id_addedem,unique_id_complete,corridor,lattitude,longitude,venting,previous_tenant,notes
17 Perry Street,Saturdays Surf NYC,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$,North American,Hip,,2 - Average,3 - High Quality,5,Average,Yes,50 ,Street Frontage,0,412.5,0,0,Step up,1,45,412.5,9.16666666666667,Standard,Yes,West Village,2,412.5,10014,983717,207390,Existing,1,Manhattan,1-613-28,613,28,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,2,1-613-28-2,,,,,,
271 West 4 Street,Hotoveli,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$$,European,Designer,,2 - Average,3 - High Quality,5,Average,No,100 ,Street Frontage,0,1183,0,0,,1,30,1183,39.4333333333333,Standard,Yes,West Village,1,1183,10014,983350,207338,Existing,1,Manhattan,1-613-3,613,3,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-613-3-1,,,,,,
37 Perry Street,Vacant,Vacant,Available,,,,,,,,2 - Average,3 - High Quality,5,Average,No,100 ,Street Frontage,0,510,0,0,,1,15,510,34,Standard,Yes,West Village,1,510,10014,983495,207347,Existing,1,Manhattan,1-613-38,613,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-613-38-1,,,,,,
41 Perry Street,Vacant,Vacant,Available,,,,,,,,2 - Average,3 - High Quality,5,Average,No,50 ,Street Frontage,0,493.5,0,0,Step up,1,15,493.5,32.9,Standard,Yes,West Village,2,493.5,10014,983464,207352,Existing,1,Manhattan,1-613-40,613,40,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,2,1-613-40-2,,,,,,
227 Waverly Place,Vacant,Vacant,Available,,,,,,,,2 - Average,3 - High Quality,5,Average,No,100 ,Street Frontage,120,0,0,0,Step down,1,24,120,5,Standard,Yes,West Village,1,120,10014,983788,207480,Existing,1,Manhattan,1-613-44,613,44,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-613-44-1,,,,,,
277 West 4 Street,Galleri Sand,Occupied,Unavailable,Gallery,Art,International Presence,$$$,European,,,2 - Average,3 - High Quality,5,Average,No,100 ,Street Frontage,0,780,0,0,,1,15,780,52,Standard,Yes,West Village,1,780,10014,983341,207382,Existing,1,Manhattan,1-613-6,613,6,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-613-6-1,,,,,,
31 Perry Street,multiple art galleries and studios,Occupied,Unavailable,Gallery,Art,Local Chain / Independant,$$$,North American,,,2 - Average,3 - High Quality,5,Average,No,100 ,Street Frontage,0,2148.5,0,2148.5,,1,18,4297,238.722222222222,Standard,Yes,West Village,1,4297,10014,983564,207371,Existing,1,Manhattan,1-613-7501,613,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-613-7501-1,,,,,,
16 Bank Street,The Waverly Inn,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$$$,North American,,,2 - Average,3 - High Quality,5,Average,No,100 ,Street Frontage,0,550,0,0,Step down,1,15,550,36.6666666666667,Standard,Yes,West Village,1,550,10014,983638,207745,Existing,1,Manhattan,1-614-24,614,24,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-614-24-1,,,,,,
2 Bank Street,Melibea,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$$,European,,,2 - Average,3 - High Quality,5,Average,No,50 ,Street Frontage,0,1125,0,0,Step up,1,18,1125,62.5,Standard,Yes,West Village,2,1125,10014,983806,207785,Existing,1,Manhattan,1-614-56,614,56,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-614-56-1,,,,,,
81 Greenwich Avenue,Barraca,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,European,,,2 - Average,3 - High Quality,5,Average,Yes,50 ,Street Frontage,0,1125,0,0,Step up,1,80,1125,14.0625,Standard,Yes,West Village,2,1125,10014,983806,207785,Existing,1,Manhattan,1-614-56,614,56,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,2,1-614-56-2,,,,,,
75 Greenwich Avenue,Roasting Plant Coffee,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,$$$,North American,,,2 - Average,3 - High Quality,5,Average,No,20 ,Street Frontage,0,951,0,0,,1,30,951,31.7,Standard,Yes,West Village,5,951,10014,983837,207676,Existing,1,Manhattan,1-614-61,614,61,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,5,1-614-61-5,,,,,,
301 West 4 Street,Marc Jacobs Women,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$$,North American,Women's,,2 - Average,3 - High Quality,5,Average,Yes,100 ,Street Frontage,501,501,0,0,,1,45,1002,22.2666666666667,Standard,Yes,West Village,1,1002,10014,983259,207767,Existing,1,Manhattan,1-615-1,615,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-615-1-1,,,,,,
281 West 12 Street,Cubbyhole ,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$,North American,,,2 - Average,3 - High Quality,5,Average,Yes,100 ,Street Frontage,0,824,0,0,Step up,1,30,824,27.4666666666667,Standard,Yes,West Village,1,824,10014,983210,208033,Existing,1,Manhattan,1-615-100,615,100,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-615-100-1,,,,,,
266 West 12 Street,Vacant,Vacant,Available,,,,,,,,2 - Average,3 - High Quality,5,Average,No,100 ,Street Frontage,688,0,0,0,Step down,1,12,688,57.3333333333333,Standard,Yes,West Village,1,688,10014,983361,207927,Existing,1,Manhattan,1-615-14,615,14,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-615-14-1,,,,,,
97 Greenwich Avenue,Equinox,Occupied,Unavailable,Gym,Gym,International Presence,$$$$,North American,,,2 - Average,3 - High Quality,5,Average,Yes,100 ,Street Frontage,0,3000,0,0,,1,120,3000,25,Standard,Yes,West Village,1,3000,10014,983689,207967,Existing,1,Manhattan,1-615-29,615,29,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-615-29-1,,,,,,
95 Greenwich Avenue,Nourish Kitchen + Table,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,3 - High Quality,5,Average,No,20 ,Street Frontage,0,2204.6,0,0,,1,15,2204.6,146.973333333333,Standard,Yes,West Village,4,2204.6,10014,983718,207889,Existing,1,Manhattan,1-615-36,615,36,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-615-36-1,,,,,,
93 Greenwich Avenue,Little Owl The Venue,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$$,North American,,,2 - Average,3 - High Quality,5,Average,No,25 ,Street Frontage,0,2755.75,0,0,,1,24,2755.75,114.822916666667,Standard,Yes,West Village,4,2755.75,10014,983718,207889,Existing,1,Manhattan,1-615-36,615,36,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,2,1-615-36-2,,,,,,
89 Greenwich Avenue,Good Restaurant,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,3 - High Quality,5,Average,No,25 ,Street Frontage,0,2755.75,0,0,,1,24,2755.75,114.822916666667,Standard,Yes,West Village,4,2755.75,10014,983718,207889,Existing,1,Manhattan,1-615-36,615,36,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,3,1-615-36-3,,,,,,
87 Greenwich Avenue,Starbucks,Occupied,Unavailable,Restaurant & Bar,Cafe,International Presence,$$$,North American,,,2 - Average,3 - High Quality,5,Average,Yes,30 ,Street Frontage,0,3306.9,0,0,,1,45,3306.9,73.4866666666667,Standard,Yes,West Village,4,3306.9,10014,983718,207889,Existing,1,Manhattan,1-615-36,615,36,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,4,1-615-36-4,,,,,,
331 West 4 Street,Corner Bistro,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$,North American,,,2 - Average,3 - High Quality,5,Average,Yes,100 ,Street Frontage,0,1210,0,0,Step up,1,45,1210,26.8888888888889,Standard,Yes,West Village,1,1210,10014,983228,208163,Existing,1,Manhattan,1-615-60,615,60,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-615-60-1,,,,,,
28 Jane Street,Grounded,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,$$,North American,Organic,,2 - Average,3 - High Quality,5,Average,No,50 ,Street Frontage,0,1494,0,0,,1,15,1494,99.6,Standard,Yes,West Village,2,1494,10014,983298,208141,Existing,1,Manhattan,1-615-62,615,62,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,2,1-615-62-2,,,,,,
313 West 4 Street,Vacant,Vacant,Available,,,,,,,,2 - Average,3 - High Quality,5,Average,No,100 ,Street Frontage,920,0,0,0,Step down,1,12,920,76.6666666666667,Standard,Yes,West Village,1,920,10014,983251,207891,Existing,1,Manhattan,1-615-7,615,7,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-615-7-1,,,,,,
103 Greenwich Avenue,Monument Lane,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,3 - High Quality,5,Average,Yes,60 ,Street Frontage,0,930,0,0,,1,45,930,20.6666666666667,Standard,Yes,West Village,2,930,10014,983675,208078,Existing,1,Manhattan,1-615-81,615,81,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-615-81-1,,,,,,
235 West 12 Street,Wallflower,Occupied,Unavailable,Restaurant & Bar,Cafe,International Presence,$$$,North American,,,2 - Average,3 - High Quality,5,Average,No,40 ,Street Frontage,0,620,0,0,,1,21,620,29.5238095238095,Standard,Yes,West Village,2,620,10014,983675,208078,Existing,1,Manhattan,1-615-81,615,81,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,2,1-615-81-2,,,,,,
46 8 Avenue B,Van Gogh Cleaners & Tailors,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$$$,North American,,,2 - Average,3 - High Quality,5,Average,Yes,85 ,Street Frontage,0,4250,0,0,,1,90,4250,47.2222222222222,Standard,Yes,West Village,2,4250,10014,983258,208253,Existing,1,Manhattan,1-616-1,616,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,2,1-616-1-2,,,,,,
306 West 13 Street,Zampa winebar + kitchen,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$$,European,,,2 - Average,3 - High Quality,5,Average,No,100 ,Street Frontage,0,1200,0,0,Step up,1,21,1200,57.1428571428571,Standard,Yes,West Village,1,1200,10014,983244,208562,Existing,1,Manhattan,1-616-43,616,43,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-616-43-1,,,,,,
1 Horatio Street,Darling,Occupied,Unavailable,Apparel,Clothing,Local Chain / Independant,$$,North American,Women's,,2 - Average,3 - High Quality,5,Average,No,100 ,Street Frontage,0,650,0,0,Step up,1,15,650,43.3333333333333,Standard,Yes,West Village,1,650,10014,983247,208480,Existing,1,Manhattan,1-616-51,616,51,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-616-51-1,,,,,,
125 Greenwich Avenue,Vacant,Vacant,Available,,,,,,,,2 - Average,3 - High Quality,5,Average,No,50 ,Street Frontage,0,5000,0,0,,1,30,5000,166.666666666667,Standard,Yes,West Village,2,5000,10014,983507,208355,Existing,1,Manhattan,1-616-7501,616,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-616-7501-1,,,,,,
121 Greenwich Avenue,Otte,Occupied,Unavailable,Apparel,Clothing,Regional Presence,$$$,North American,Women's,,2 - Average,3 - High Quality,5,Average,No,50 ,Street Frontage,0,5000,0,0,,1,30,5000,166.666666666667,Standard,Yes,West Village,2,5000,10014,983507,208355,Existing,1,Manhattan,1-616-7501,616,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,2,1-616-7501-2,,,,,,
224 W 4th ,Bank of America ,Occupied,Unavailable,Bank,Bank,National Presence,$$,North American,,,2 - Average,3 - High Quality,5,Average,Yes,30 ,Street Frontage,0,6672,0,0,,1,115,6672,58.0173913043478,Standard,Yes,West Village,6,6672,10014,983374,206613,Existing,1,Manhattan,1-619-74,619,74,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,6,1-619-74-6,,,,,,
92 Perry St,A.P.C.,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$,North American,,,2 - Average,3 - High Quality,5,Average,No,100 ,Street Frontage,0,3828,0,0,Step up,1,30,2353,78.4333333333333,Standard,Yes,West Village,2,3828,10014,982834,207113,Existing,1,Manhattan,1-621-7503,621,7503,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-621-7503-1,,,,,,
384 Bleecker Street,Michael Kors,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$,European,,,2 - Average,3 - High Quality,5,Average,Yes,,Street Frontage,425,1050,0,0,,1,,1475,,Standard,Yes,West Village,2,1475,10014,982834,207113,Existing,1,Manhattan,1-621-7503,621,7503,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,2,1-621-7503-2,,,,,,
570 Hudson ,Frankie's 570,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,European,,,2 - Average,3 - High Quality,5,Average,Yes,100 ,Street Frontage,0,1753,0,0,,1,75,1753,23.3733333333333,Standard,Yes,West Village,1,1753,10014,982656,207319,Existing,1,Manhattan,1-622-10,622,10,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-622-10-1,,,,,,
296 West 4 Street ,Bank Street Laundromat,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$$,North American,,,2 - Average,3 - High Quality,5,Average,No,50 ,Street Frontage,0,550,0,0,Step up,1,18,550,30.5555555555556,Standard,Yes,West Village,2,550,10014,983188,207678,Existing,1,Manhattan,1-623-38,623,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-623-38-1,,,,,,
298 West 4 Street,Little Marc Jacobs,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$$,North American,"Children, Baby",,2 - Average,3 - High Quality,5,Average,Yes,50 ,Street Frontage,0,550,0,0,Step up,1,30,550,18.3333333333333,Standard,Yes,West Village,2,550,10014,983188,207678,Existing,1,Manhattan,1-623-38,623,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,2,1-623-38-2,,,,,,
576 Hudson Street,HSBC,Occupied,Unavailable,Bank,Bank,National Presence,$$,European,,,2 - Average,3 - High Quality,5,Average,Yes,100 ,Street Frontage,0,5000,0,0,Step up,1,90,5000,55.5555555555556,Standard,Yes,West Village,1,5000,10014,982695,207458,Existing,1,Manhattan,1-623-7501,623,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,1,1-623-7501-1,,,,,,
99 Bank Street,The Missing Ingredient,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,3 - High Quality,5,Average,Yes,30 ,Street Frontage,0,3798.9,0,0,Step up,1,60,3798.9,63.315,Standard,Yes,West Village,2,3798.9,10014,982524,207682,Existing,1,Manhattan,1-624-1,624,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,3,,,,,,,,,,,,,2,1-624-1-2,,,,,,
